
Graph 1, order 15000.
3011 : 6109 11152 5240;
3012 : 7512 6997 1532;
3013 : 4122 9370 3702;
3014 : 3960 1338 1156;
3015 : 12536 12264 179;
3016 : 2651 7666 3732;
3017 : 4413 3913 7254;
3018 : 7258 9175 8491;
3019 : 14866 9082 6093;
3020 : 8453 11092 10024;
3021 : 7168 13690 12846;
3022 : 7949 8614 12226;
3023 : 11807 12441 10977;
3024 : 11707 8522 11312;
3025 : 14963 8455 11039;
3026 : 1027 12346 1458;
3027 : 6455 5929 13820;
3028 : 14529 13699 7977;
3029 : 11004 14140 9737;
3030 : 7980 6382 10798;
3031 : 12708 10775 5815;
3032 : 12231 10439 5722;
3033 : 13002 13204 2008;
3034 : 2555 7670 2107;
3035 : 13142 14461 14697;
3036 : 3099 9410 11639;
3037 : 11452 3125 2228;
3038 : 4976 12395 6476;
3039 : 6268 13131 14169;
3040 : 3788 13647 11935;
3041 : 13271 2476 1067;
3042 : 12773 399 10196;
3043 : 9319 3328 12609;
3044 : 9639 14260 12658;
3045 : 12575 5372 12831;
3046 : 6938 13987 11313;
3047 : 10786 11262 9069;
3048 : 1561 10086 11372;
3049 : 8040 8777 780;
3050 : 2107 4138 8658;
3051 : 2483 7154 10621;
3052 : 12495 10473 6973;
3053 : 9810 1083 437;
3054 : 7980 13051 13099;
3055 : 12641 9662 12739;
3056 : 4575 9451 9939;
3057 : 13271 8261 12582;
3058 : 6427 2593 1951;
3059 : 9264 12696 14650;
3060 : 11576 12988 10469;
3061 : 11005 10755 7331;
3062 : 14288 4726 3805;
3063 : 5907 9370 7451;
3064 : 14325 7 14233;
3065 : 12102 10120 14454;
3066 : 14493 5354 9825;
3067 : 11395 2456 11609;
3068 : 14479 12440 200;
3069 : 7195 656 1847;
3070 : 9122 12909 13013;
3071 : 14379 3689 12674;
3072 : 5564 4543 3501;
3073 : 14451 4325 6432;
3074 : 4617 14269 7578;
3075 : 4967 3137 13270;
3076 : 7956 6508 7306;
3077 : 11434 546 14194;
3078 : 7030 11726 4843;
3079 : 10986 1217 11542;
3080 : 14424 350 8058;
3081 : 13703 3720 3323;
3082 : 2310 7010 7922;
3083 : 8016 1814 14391;
3084 : 10908 12964 1744;
3085 : 4287 306 5071;
3086 : 13165 7790 10808;
3087 : 1465 6891 5641;
3088 : 7033 12946 3619;
3089 : 14608 5614 8512;
3090 : 14564 11573 1878;
3091 : 11073 8220 10572;
3092 : 8511 2932 7939;
3093 : 12196 1522 9806;
3094 : 10629 9678 8081;
3095 : 11648 12134 12009;
3096 : 14164 1694 14419;
3097 : 11689 12611 4322;
3098 : 5730 8085 12726;
3099 : 12374 428 3036;
3100 : 11103 11444 10740;
3101 : 11511 13250 11896;
3102 : 11543 9602 3626;
3103 : 9207 14271 2358;
3104 : 12624 8721 4236;
3105 : 13879 5420 10855;
3106 : 7314 10210 14327;
3107 : 584 11539 24;
3108 : 9728 5266 5477;
3109 : 7915 9537 6281;
3110 : 9093 1299 7701;
3111 : 14106 7833 13616;
3112 : 9639 8644 4948;
3113 : 8572 14894 5043;
3114 : 10761 6674 4433;
3115 : 13176 3516 8526;
3116 : 9919 6636 14228;
3117 : 9341 11866 10337;
3118 : 10301 8463 3457;
3119 : 14851 2403 7392;
3120 : 6351 4387 13542;
3121 : 1829 6481 7884;
3122 : 7694 13658 9442;
3123 : 13833 11953 7803;
3124 : 1662 11222 8806;
3125 : 13440 97 3037;
3126 : 7148 3761 5018;
3127 : 1479 5489 10;
3128 : 7540 3158 10591;
3129 : 1123 7333 8327;
3130 : 7256 11703 5348;
3131 : 5923 9234 14919;
3132 : 590 11337 9013;
3133 : 4587 8384 8881;
3134 : 1303 11498 4083;
3135 : 8469 10532 13935;
3136 : 748 8107 7160;
3137 : 14898 3075 11349;
3138 : 1718 5862 774;
3139 : 8656 13014 11679;
3140 : 7886 5459 14059;
3141 : 7857 1871 9939;
3142 : 2054 8788 13298;
3143 : 9668 14691 10042;
3144 : 8951 7149 9877;
3145 : 9067 7685 7652;
3146 : 14229 4199 11192;
3147 : 5634 6941 8705;
3148 : 7419 5261 14675;
3149 : 4479 6464 7303;
3150 : 13861 11093 7016;
3151 : 2383 1704 14226;
3152 : 9513 14879 10429;
3153 : 7922 1535 8831;
3154 : 5456 6396 10651;
3155 : 13724 4083 13320;
3156 : 7088 12469 5191;
3157 : 7237 9439 955;
3158 : 7777 9676 3128;
3159 : 11357 13531 1579;
3160 : 13237 9483 10282;
3161 : 3708 10871 9210;
3162 : 6540 1636 1263;
3163 : 5064 1191 12327;
3164 : 8217 5976 1395;
3165 : 12991 5561 946;
3166 : 9451 7278 2977;
3167 : 230 1614 4675;
3168 : 10990 4139 9930;
3169 : 13305 8860 8555;
3170 : 5359 3360 11292;
3171 : 10447 11429 8112;
3172 : 9338 8801 10808;
3173 : 3919 5555 2827;
3174 : 10198 9048 245;
3175 : 7601 8118 12971;
3176 : 8737 7576 7821;
3177 : 10863 1385 13422;
3178 : 12617 3582 3894;
3179 : 13577 5509 115;
3180 : 9025 8659 9296;
3181 : 9904 14367 11055;
3182 : 644 885 1959;
3183 : 5008 11583 4361;
3184 : 1278 6463 1000;
3185 : 3435 4289 11844;
3186 : 5456 13439 1066;
3187 : 5497 7903 12435;
3188 : 8978 5800 12959;
3189 : 10195 8265 4214;
3190 : 11702 13877 10194;
3191 : 9510 10606 3216;
3192 : 5227 13149 7967;
3193 : 2126 8697 7287;
3194 : 13519 11472 8559;
3195 : 5512 9537 11264;
3196 : 9843 5215 8966;
3197 : 13430 12026 7270;
3198 : 12494 11865 7826;
3199 : 13456 10251 2247;
3200 : 14092 12667 11124;
3201 : 14130 13408 6920;
3202 : 11359 4642 9628;
3203 : 8538 942 999;
3204 : 8050 3543 10958;
3205 : 12688 3222 11013;
3206 : 1258 14998 9711;
3207 : 10515 13513 9102;
3208 : 3716 7826 11775;
3209 : 13193 9836 1235;
3210 : 12871 11370 7530;
3211 : 14110 10050 8607;
3212 : 14189 8242 10457;
3213 : 13877 12083 9663;
3214 : 8144 11152 5350;
3215 : 390 12286 8625;
3216 : 8094 11258 3191;
3217 : 13388 3640 1464;
3218 : 11362 11621 3817;
3219 : 372 755 10270;
3220 : 11042 12384 12259;
3221 : 6322 7587 4278;
3222 : 3205 1281 9817;
3223 : 7332 8624 9747;
3224 : 3828 6858 4564;
3225 : 7656 2616 6009;
3226 : 4981 3676 12155;
3227 : 9831 7711 592;
3228 : 7076 13931 6241;
3229 : 4525 8438 11226;
3230 : 8248 3953 2719;
3231 : 8260 3804 13238;
3232 : 400 5986 12702;
3233 : 613 7913 13420;
3234 : 8002 10421 10503;
3235 : 13745 4211 12584;
3236 : 10214 6825 1329;
3237 : 6862 9951 2458;
3238 : 9050 7626 6436;
3239 : 2711 11063 13057;
3240 : 12094 1571 13674;
3241 : 4658 4977 4858;
3242 : 10962 404 14846;
3243 : 1219 2073 834;
3244 : 11750 7147 10357;
3245 : 13446 8099 10201;
3246 : 6983 14846 3009;
3247 : 12653 9004 14722;
3248 : 5498 13758 1600;
3249 : 5822 14500 4344;
3250 : 8872 1706 9086;
3251 : 11974 11268 13679;
3252 : 9968 14039 9304;
3253 : 10007 109 7530;
3254 : 12473 11610 12103;
3255 : 11928 12099 7970;
3256 : 8609 7101 8565;
3257 : 14553 9149 8214;
3258 : 2952 4661 8520;
3259 : 13811 2021 13094;
3260 : 8775 9645 282;
3261 : 5384 12299 6051;
3262 : 3538 2691 2690;
3263 : 11562 10517 7031;
3264 : 12898 9620 13522;
3265 : 5419 704 11221;
3266 : 2061 10167 5557;
3267 : 12121 8610 6716;
3268 : 14832 1952 6926;
3269 : 10636 4302 4065;
3270 : 12624 13531 1109;
3271 : 6506 12888 2535;
3272 : 11164 5484 11129;
3273 : 4485 10108 4935;
3274 : 10266 13096 2508;
3275 : 1660 8161 6513;
3276 : 11614 13291 7537;
3277 : 12724 11099 13866;
3278 : 9108 11496 13016;
3279 : 13466 8733 13224;
3280 : 14017 10951 5286;
3281 : 6310 122 10518;
3282 : 14468 11761 5253;
3283 : 10913 10934 514;
3284 : 12512 13868 13028;
3285 : 14768 3932 14590;
3286 : 5470 4227 9437;
3287 : 2204 238 1107;
3288 : 9339 9820 12288;
3289 : 10117 13108 1935;
3290 : 168 2875 8470;
3291 : 1202 5580 14281;
3292 : 11945 13444 8432;
3293 : 14910 9553 6871;
3294 : 5115 6545 13440;
3295 : 14554 6107 13710;
3296 : 14075 948 9485;
3297 : 7696 8510 8597;
3298 : 12494 1319 8952;
3299 : 1923 7176 9945;
3300 : 4294 14694 12002;
3301 : 4445 13871 12666;
3302 : 12873 1377 8810;
3303 : 1962 12686 10648;
3304 : 144 11043 861;
3305 : 8764 10299 9707;
3306 : 4722 14224 4833;
3307 : 1766 7647 10061;
3308 : 13498 4572 1028;
3309 : 8251 6250 10739;
3310 : 10777 11976 2826;
3311 : 14290 10501 5035;
3312 : 12365 8177 2425;
3313 : 10334 14693 4191;
3314 : 4092 8490 5854;
3315 : 11406 13647 5939;
3316 : 3385 2764 10706;
3317 : 9704 8063 12533;
3318 : 3894 6260 490;
3319 : 10144 4748 10554;
3320 : 2804 639 9791;
3321 : 4030 14129 3471;
3322 : 13435 10623 5613;
3323 : 1320 3081 1511;
3324 : 5340 8403 1542;
3325 : 1388 9788 12528;
3326 : 4825 11254 8382;
3327 : 4228 4926 14686;
3328 : 5357 3043 6652;
3329 : 11223 13987 8631;
3330 : 1555 506 7831;
3331 : 407 14718 14140;
3332 : 9936 9580 3530;
3333 : 11410 625 10464;
3334 : 10717 744 14717;
3335 : 10573 9288 112;
3336 : 536 7650 11126;
3337 : 10129 11636 5285;
3338 : 13961 6163 2810;
3339 : 5653 6963 10289;
3340 : 11221 9774 13442;
3341 : 14873 5308 1654;
3342 : 2986 4032 5392;
3343 : 12366 6101 12619;
3344 : 9961 8504 4113;
3345 : 6193 13079 1830;
3346 : 3979 4599 14307;
3347 : 6127 1699 2952;
3348 : 1424 14636 8456;
3349 : 1556 4809 2523;
3350 : 3422 10983 3514;
3351 : 7949 11976 5293;
3352 : 8531 5485 14577;
3353 : 7299 5049 11665;
3354 : 10145 6085 3659;
3355 : 12449 8267 855;
3356 : 11858 752 10141;
3357 : 7036 5213 6787;
3358 : 414 12039 8078;
3359 : 8115 11883 12872;
3360 : 14537 8264 3170;
3361 : 6397 2705 5351;
3362 : 1328 3693 9066;
3363 : 1947 1282 3600;
3364 : 7775 12621 14725;
3365 : 9231 12416 13312;
3366 : 5493 11725 13129;
3367 : 13928 1642 13976;
3368 : 5857 12004 7109;
3369 : 2469 2632 596;
3370 : 13984 4183 10822;
3371 : 2108 9690 13605;
3372 : 3515 1687 13529;
3373 : 5743 5439 14536;
3374 : 7388 2596 13863;
3375 : 10678 13509 8541;
3376 : 7654 7913 1518;
3377 : 6398 13397 12240;
3378 : 14008 2748 2810;
3379 : 9834 7849 7563;
3380 : 8191 12191 8764;
3381 : 10711 10417 858;
3382 : 4346 1038 3408;
3383 : 6914 8472 6552;
3384 : 6499 11070 13395;
3385 : 3316 3741 6342;
3386 : 9336 4559 9815;
3387 : 5541 14390 14897;
3388 : 13410 1181 5788;
3389 : 14344 12609 12169;
3390 : 12540 281 9901;
3391 : 5049 4160 10016;
3392 : 346 3497 5737;
3393 : 5010 8099 9388;
3394 : 3431 13806 10873;
3395 : 3730 9700 619;
3396 : 2184 8384 9319;
3397 : 13173 10045 9850;
3398 : 8402 12787 4470;
3399 : 6498 5955 13317;
3400 : 14803 4809 7770;
3401 : 5943 7293 7313;
3402 : 12897 8824 12304;
3403 : 10236 984 8713;
3404 : 75 6602 2435;
3405 : 11398 10465 12039;
3406 : 6094 42 277;
3407 : 4055 10801 12550;
3408 : 3382 14058 6904;
3409 : 5790 5570 10617;
3410 : 6940 5636 6391;
3411 : 10969 7032 2531;
3412 : 4626 6374 12903;
3413 : 9372 8849 9113;
3414 : 2569 4562 13245;
3415 : 8011 10596 781;
3416 : 2146 8077 10234;
3417 : 1350 10400 5763;
3418 : 9094 1812 10488;
3419 : 5162 10843 11748;
3420 : 2680 8790 5443;
3421 : 9525 14881 10190;
3422 : 3350 5482 6068;
3423 : 246 10836 10733;
3424 : 7288 10127 8126;
3425 : 625 13494 583;
3426 : 10969 11253 7707;
3427 : 8143 10378 5121;
3428 : 12369 10510 1283;
3429 : 4137 6105 11070;
3430 : 14383 14586 14869;
3431 : 12564 3394 2863;
3432 : 14535 14010 14059;
3433 : 12319 7529 11837;
3434 : 5785 7395 6515;
3435 : 3185 14743 12470;
3436 : 4305 1892 2448;
3437 : 8459 9225 11811;
3438 : 12499 95 14292;
3439 : 3534 7611 238;
3440 : 5142 12313 237;
3441 : 1073 14057 9376;
3442 : 7063 4570 576;
3443 : 4471 5794 612;
3444 : 7917 9826 7548;
3445 : 10797 14643 12615;
3446 : 11171 12664 10348;
3447 : 8315 9456 1379;
3448 : 2763 4736 8286;
3449 : 5437 8162 2723;
3450 : 8619 13253 13769;
3451 : 12951 9383 6476;
3452 : 14848 14027 1993;
3453 : 2123 14071 13343;
3454 : 2835 4591 8707;
3455 : 9810 247 13902;
3456 : 1708 6888 14337;
3457 : 13768 3527 3118;
3458 : 10909 4404 6126;
3459 : 13029 8782 8394;
3460 : 1880 11961 4810;
3461 : 12214 687 11970;
3462 : 9617 14214 10199;
3463 : 9612 13132 13357;
3464 : 6289 14869 14954;
3465 : 1449 544 9114;
3466 : 14160 377 9703;
3467 : 8408 2461 5233;
3468 : 9710 9054 1414;
3469 : 13166 1177 746;
3470 : 4988 1698 11510;
3471 : 13446 3321 13691;
3472 : 4508 4807 1799;
3473 : 3706 14635 4254;
3474 : 7972 2466 14868;
3475 : 8064 4937 6586;
3476 : 14384 13815 973;
3477 : 8274 5950 442;
3478 : 13659 9331 6930;
3479 : 5824 14675 5218;
3480 : 9262 8269 12935;
3481 : 14128 10647 6551;
3482 : 3806 13817 1077;
3483 : 7969 12765 9141;
3484 : 10003 11210 10293;
3485 : 14381 764 5993;
3486 : 6347 14323 13319;
3487 : 86 12921 5791;
3488 : 12658 10387 8805;
3489 : 9880 4681 617;
3490 : 9971 4452 9677;
3491 : 10166 6826 4348;
3492 : 13025 1244 423;
3493 : 9411 14750 11316;
3494 : 14684 11146 8077;
3495 : 11698 12348 14252;
3496 : 10596 13383 4537;
3497 : 3392 13298 5874;
3498 : 10625 14355 4427;
3499 : 14649 10135 7480;
3500 : 13287 13133 13983;
3501 : 14306 3072 6111;
3502 : 11137 9724 7877;
3503 : 8153 1954 9788;
3504 : 12195 11231 6114;
3505 : 1759 2921 5663;
3506 : 11700 10721 1385;
3507 : 4123 12720 10960;
3508 : 2925 14280 10376;
3509 : 8463 2737 11635;
3510 : 10607 10171 2142;
3511 : 14621 10652 1366;
3512 : 7865 14626 9269;
3513 : 2210 6019 6461;
3514 : 14776 3350 757;
3515 : 399 7550 3372;
3516 : 2352 8567 3115;
3517 : 10325 9009 4095;
3518 : 11763 548 14752;
3519 : 7277 7518 13365;
3520 : 8075 5684 1246;
3521 : 6855 7637 12928;
3522 : 8915 2997 12654;
3523 : 10753 9791 1034;
3524 : 4542 6458 2539;
3525 : 8128 1098 6183;
3526 : 9852 14829 2245;
3527 : 13687 3457 13970;
3528 : 14520 6410 5200;
3529 : 3794 777 329;
3530 : 5226 3332 10167;
3531 : 4487 9863 10558;
3532 : 184 8745 6577;
3533 : 8856 1273 10113;
3534 : 3439 14899 9851;
3535 : 5427 11857 9577;
3536 : 13447 1318 1882;
3537 : 14848 9661 8503;
3538 : 3262 14126 9715;
3539 : 10023 8825 14204;
3540 : 13046 2625 14570;
3541 : 14692 905 10250;
3542 : 8330 2687 11590;
3543 : 3204 10053 9462;
3544 : 9458 1660 6330;
3545 : 5769 14541 8005;
3546 : 13499 12631 4252;
3547 : 10065 11539 12085;
3548 : 4362 9272 13126;
3549 : 14649 11756 4638;
3550 : 8812 2777 12524;
3551 : 560 11205 7459;
3552 : 9539 13566 6026;
3553 : 4784 4757 8052;
3554 : 10412 4180 10750;
3555 : 8485 13171 1878;
3556 : 6625 10385 67;
3557 : 9027 2897 13286;
3558 : 11917 12394 7123;
3559 : 6721 6257 870;
3560 : 7233 8478 420;
3561 : 1749 5526 4129;
3562 : 10030 13165 14198;
3563 : 8389 13253 6036;
3564 : 2098 10042 11953;
3565 : 9933 10708 12954;
3566 : 12915 7780 3725;
3567 : 11311 12980 11241;
3568 : 8259 2379 1430;
3569 : 7631 488 12864;
3570 : 2018 12321 13535;
3571 : 4680 14564 5429;
3572 : 4220 877 4162;
3573 : 2849 10555 10537;
3574 : 1375 705 112;
3575 : 8 12797 6157;
3576 : 9357 7164 12378;
3577 : 7530 10578 2325;
3578 : 8017 10742 10676;
3579 : 6796 8666 6641;
3580 : 1173 62 3699;
3581 : 8595 8203 12825;
3582 : 11028 9514 3178;
3583 : 11999 11123 10340;
3584 : 13040 12917 14824;
3585 : 7789 9066 1797;
3586 : 2167 12396 8893;
3587 : 12122 3613 6855;
3588 : 8061 9344 13151;
3589 : 5944 7534 13779;
3590 : 5029 12665 9999;
3591 : 8233 90 4031;
3592 : 9896 11916 14771;
3593 : 10398 4320 4582;
3594 : 6089 14417 376;
3595 : 13923 6450 11019;
3596 : 9660 12726 11267;
3597 : 10508 8412 13400;
3598 : 2093 10374 9440;
3599 : 9149 294 7649;
3600 : 3363 6975 12038;
3601 : 7382 13876 4655;
3602 : 14338 86 14493;
3603 : 9550 11805 5625;
3604 : 10825 10432 14230;
3605 : 4288 10581 7365;
3606 : 10260 9685 13534;
3607 : 7982 8561 9269;
3608 : 8162 7768 4786;
3609 : 2741 12037 7217;
3610 : 13007 2174 5575;
3611 : 7962 13608 7013;
3612 : 13580 11485 1415;
3613 : 13574 9169 3587;
3614 : 10008 10013 7155;
3615 : 12908 11766 1326;
3616 : 12330 2356 4127;
3617 : 8372 10743 12937;
3618 : 4384 12982 4099;
3619 : 11456 3088 3860;
3620 : 10618 2335 2031;
3621 : 7364 803 8372;
3622 : 2441 168 6556;
3623 : 10119 11549 12082;
3624 : 11715 1256 10801;
3625 : 14919 660 2883;
3626 : 2222 3102 12799;
3627 : 10523 12473 11233;
3628 : 6625 7616 14881;
3629 : 4179 8671 324;
3630 : 5598 2066 14168;
3631 : 12485 9717 14216;
3632 : 2676 8970 10131;
3633 : 13487 4016 13416;
3634 : 4866 12043 6907;
3635 : 12498 12607 9985;
3636 : 8080 4593 14812;
3637 : 14346 11698 12061;
3638 : 6666 11866 14316;
3639 : 12190 12787 12291;
3640 : 11106 3217 14619;
3641 : 7138 4449 13011;
3642 : 5017 14149 5151;
3643 : 10017 7967 5072;
3644 : 12249 8053 14019;
3645 : 11882 7555 12548;
3646 : 13129 14171 10065;
3647 : 4358 14477 9099;
3648 : 798 10829 14345;
3649 : 2103 11645 1348;
3650 : 6637 2471 4305;
3651 : 8751 12843 6686;
3652 : 2109 10009 8601;
3653 : 11988 14164 9950;
3654 : 6039 942 10830;
3655 : 8434 13077 8545;
3656 : 1698 4130 1774;
3657 : 8320 14139 900;
3658 : 12861 11142 7718;
3659 : 3354 2207 8245;
3660 : 13526 10018 1313;
3661 : 13397 13021 13933;
3662 : 2700 6446 2755;
3663 : 14530 505 9110;
3664 : 10610 11123 2191;
3665 : 918 10200 11494;
3666 : 10437 2663 13564;
3667 : 7412 14588 11872;
3668 : 5383 1131 12386;
3669 : 3780 4696 13598;
3670 : 8924 1844 7955;
3671 : 2473 7136 5681;
3672 : 13247 10534 4279;
3673 : 5417 4032 5431;
3674 : 13554 10519 9839;
3675 : 1120 1876 716;
3676 : 11779 11047 3226;
3677 : 10997 14289 100;
3678 : 12167 14798 3743;
3679 : 456 2397 11530;
3680 : 12503 9793 249;
3681 : 8366 14764 10258;
3682 : 7377 2943 5346;
3683 : 5165 8534 11803;
3684 : 12079 9637 13203;
3685 : 4284 13939 2622;
3686 : 5784 14914 13454;
3687 : 5560 5200 14747;
3688 : 12374 10665 11796;
3689 : 3071 13208 4847;
3690 : 11956 11433 7910;
3691 : 13505 2767 1356;
3692 : 13559 8987 5448;
3693 : 3886 3362 10949;
3694 : 3758 5780 9163;
3695 : 9498 10305 1070;
3696 : 11626 13146 3929;
3697 : 957 2965 14839;
3698 : 2201 5673 5712;
3699 : 3580 7674 7854;
3700 : 3763 10147 1717;
3701 : 13388 13743 4953;
3702 : 3013 11590 1611;
3703 : 11357 12763 5150;
3704 : 8446 12871 10144;
3705 : 1417 1891 5090;
3706 : 3473 14528 14986;
3707 : 7573 10313 13519;
3708 : 3161 10201 2502;
3709 : 6409 11416 9073;
3710 : 7478 13450 12119;
3711 : 10416 2865 4282;
3712 : 6190 3863 5649;
3713 : 12008 4185 11337;
3714 : 11121 9778 6525;
3715 : 2169 2451 8000;
3716 : 3208 14137 11131;
3717 : 4590 12915 7513;
3718 : 14008 4638 1037;
3719 : 1098 10128 13940;
3720 : 3081 11519 473;
3721 : 9227 1793 8315;
3722 : 4316 10980 7575;
3723 : 9128 2199 11173;
3724 : 11162 10496 13907;
3725 : 5916 3566 591;
3726 : 184 14795 14766;
3727 : 14400 5385 7091;
3728 : 6943 9491 9697;
3729 : 14944 11773 12972;
3730 : 2306 3395 13883;
3731 : 2667 14623 14786;
3732 : 4441 3016 12284;
3733 : 12755 14708 1794;
3734 : 9384 2291 13550;
3735 : 13160 12311 11489;
3736 : 8226 10529 5355;
3737 : 12208 12024 11287;
3738 : 8928 8717 600;
3739 : 13623 2602 13222;
3740 : 6929 8908 2230;
3741 : 12775 12501 3385;
3742 : 9977 4048 6608;
3743 : 3678 9475 9472;
3744 : 3887 14217 8673;
3745 : 165 7757 2390;
3746 : 13756 8104 11135;
3747 : 4954 2252 6045;
3748 : 3827 377 14654;
3749 : 11055 2642 924;
3750 : 9652 6032 6923;
3751 : 4352 12307 7562;
3752 : 2729 9649 12097;
3753 : 13988 594 6271;
3754 : 929 9571 4866;
3755 : 12716 10957 13867;
3756 : 10002 12882 12632;
3757 : 5667 2442 14434;
3758 : 4099 4505 3694;
3759 : 8183 642 14111;
3760 : 11951 899 5803;
3761 : 12963 14895 3126;
3762 : 4823 28 9153;
3763 : 8497 9813 3700;
3764 : 8657 14669 10314;
3765 : 12239 9762 13377;
3766 : 12752 9408 12645;
3767 : 886 11517 13369;
3768 : 14358 8933 565;
3769 : 11163 4710 4295;
3770 : 7857 13211 691;
3771 : 14612 13009 11291;
3772 : 12367 5936 393;
3773 : 8815 7749 6938;
3774 : 6565 2308 9380;
3775 : 14336 9100 2552;
3776 : 12089 9615 11244;
3777 : 1973 1353 7250;
3778 : 12821 2787 11960;
3779 : 6532 1620 1005;
3780 : 13855 9028 3669;
3781 : 11568 6428 8611;
3782 : 13202 12920 4144;
3783 : 14489 7146 5513;
3784 : 7373 12375 781;
3785 : 13860 5959 1990;
3786 : 14361 10669 5722;
3787 : 10644 3896 13907;
3788 : 14762 12970 3040;
3789 : 11238 11208 8092;
3790 : 12120 9609 6497;
3791 : 8767 6163 1378;
3792 : 14238 10773 10284;
3793 : 12467 6760 5895;
3794 : 12261 3529 2341;
3795 : 9637 12895 913;
3796 : 329 762 10754;
3797 : 11425 7714 11347;
3798 : 4885 11889 7371;
3799 : 14479 13697 9235;
3800 : 8496 9578 12866;
3801 : 5120 13230 8151;
3802 : 634 10480 1909;
3803 : 13082 2257 1953;
3804 : 8066 12024 3231;
3805 : 5543 351 3062;
3806 : 5349 4646 3482;
3807 : 126 8963 7862;
3808 : 1894 501 11832;
3809 : 646 13668 6054;
3810 : 8101 6557 1408;
3811 : 9325 707 9335;
3812 : 8415 10258 11542;
3813 : 4927 7486 1807;
3814 : 13617 5686 5855;
3815 : 3955 12595 11324;
3816 : 1954 13596 22;
3817 : 11823 10771 3218;
3818 : 2679 8834 8776;
3819 : 14760 5517 14392;
3820 : 8413 7313 442;
3821 : 13880 4205 6613;
3822 : 6350 5840 5210;
3823 : 7023 6782 4987;
3824 : 14770 2964 9151;
3825 : 11376 10603 6789;
3826 : 10148 5162 5978;
3827 : 7484 3748 8875;
3828 : 3224 14849 4565;
3829 : 4063 14566 9203;
3830 : 9745 9246 14953;
3831 : 14923 5745 8228;
3832 : 12472 13022 4062;
3833 : 13237 12833 8492;
3834 : 1253 8501 10564;
3835 : 13143 11128 8904;
3836 : 7519 7198 14504;
3837 : 2498 125 1707;
3838 : 11174 14296 6246;
3839 : 14392 9121 8719;
3840 : 1691 12261 8964;
3841 : 9207 14057 4509;
3842 : 10064 8302 11917;
3843 : 9302 12240 20;
3844 : 3973 9263 11633;
3845 : 8742 8694 10176;
3846 : 13005 10055 9070;
3847 : 379 1633 12966;
3848 : 7750 9791 11328;
3849 : 4660 8533 5984;
3850 : 11469 14874 11161;
3851 : 2689 8256 9327;
3852 : 9945 9947 1542;
3853 : 10466 2130 14741;
3854 : 8519 1338 8630;
3855 : 12672 10208 11894;
3856 : 546 1396 5699;
3857 : 13060 8552 5249;
3858 : 2365 4456 2096;
3859 : 11472 7524 2684;
3860 : 9452 3619 13989;
3861 : 11785 6425 10624;
3862 : 7693 8227 4079;
3863 : 3712 13957 12660;
3864 : 6608 13115 8834;
3865 : 7602 11465 4038;
3866 : 12151 10828 14714;
3867 : 12547 6475 14243;
3868 : 2488 292 5460;
3869 : 13384 7953 4460;
3870 : 5690 995 11741;
3871 : 8076 7511 4961;
3872 : 10171 10270 14510;
3873 : 7814 4193 1652;
3874 : 14640 12320 13335;
3875 : 11155 8345 6617;
3876 : 11963 1045 227;
3877 : 12496 9733 13035;
3878 : 12259 18 11189;
3879 : 9626 8870 7575;
3880 : 14748 7765 7925;
3881 : 4497 11496 4511;
3882 : 9552 10867 8952;
3883 : 8086 6348 13568;
3884 : 10438 912 14458;
3885 : 14055 679 5814;
3886 : 14468 3693 891;
3887 : 13109 7682 3744;
3888 : 7030 5763 9799;
3889 : 11057 1942 8116;
3890 : 11839 4977 14836;
3891 : 8515 13911 7223;
3892 : 10059 13324 9421;
3893 : 14443 2950 1410;
3894 : 3952 3318 3178;
3895 : 11421 7681 6086;
3896 : 10988 3939 3787;
3897 : 256 14424 5702;
3898 : 13984 7734 14859;
3899 : 2312 12559 930;
3900 : 10962 13752 10484;
3901 : 4181 6325 12528;
3902 : 4057 6248 8046;
3903 : 4543 2769 5501;
3904 : 7260 12787 14482;
3905 : 9482 8250 5700;
3906 : 8032 2234 11734;
3907 : 8710 12387 4100;
3908 : 9011 8791 6121;
3909 : 6037 12866 11403;
3910 : 4116 11675 12238;
3911 : 8529 5892 6146;
3912 : 6374 13170 10686;
3913 : 13923 12201 3017;
3914 : 14591 12413 12834;
3915 : 388 11024 5985;
3916 : 9179 1737 14611;
3917 : 8916 14839 998;
3918 : 10900 10299 12263;
3919 : 1345 11505 3173;
3920 : 1964 10744 14517;
3921 : 14815 13778 11994;
3922 : 1164 13693 2402;
3923 : 5200 7890 8095;
3924 : 14331 9670 8445;
3925 : 7241 7795 5429;
3926 : 8034 7284 6756;
3927 : 4248 1745 1798;
3928 : 11837 8236 11272;
3929 : 3696 1980 8620;
3930 : 11018 2739 9729;
3931 : 13240 9193 2661;
3932 : 5693 10352 3285;
3933 : 13462 438 7285;
3934 : 11308 10726 6660;
3935 : 2767 4156 12626;
3936 : 7426 14179 12373;
3937 : 5678 11125 7497;
3938 : 43 2076 11535;
3939 : 843 3896 14504;
3940 : 1139 13821 13712;
3941 : 12285 11241 155;
3942 : 6658 12223 425;
3943 : 13491 14888 7174;
3944 : 14410 10698 9238;
3945 : 6562 7139 9314;
3946 : 9565 14852 10369;
3947 : 6118 12984 1950;
3948 : 11398 14004 12693;
3949 : 4319 4068 5114;
3950 : 5807 10895 12430;
3951 : 14709 8618 5436;
3952 : 13746 163 3894;
3953 : 10688 3230 2845;
